Title,Image URL,Description,Instructions,Training Tips,Groupe Musculaire,Calories de Base Estimées
Relevé de jambes suspendu,http://82.66.65.151:7000/images/ExerciceImage/relevé_de_jambes_suspendu.jpg,"Le relevé de jambes suspendu est un exercice idéal pour travailler le bas des abdominaux. Tout ce dont vous avez besoin pour cet exercice, c’est d’un endroit auquel vous pouvez vous suspendre. Il peut s’agir d’une barre de traction ou d’un arbre.","1. Une fois que vous êtes suspendu, tendez la section médiane. Tout en gardant les jambes droites, levez-les lentement. Vous devez lever vos jambes aussi haut que possible. | 2. Une fois que vous êtes suspendu, contractez les muscles abdominaux pour relever les jambes tout en les gardant tendues. | 3. Levez vos jambes aussi haut que possible. | 4. Redescendez lentement vos jambes en position de départ. | 5. Répétez le mouvement autant de fois que vous le pouvez ou jusqu’à terminer le nombre de répétitions prévu.","1. La vitesse est très importante dans cet exercice. Si vous balancez vos jambes, l’élan créé vous aidera à monter vos jambes, au détriment de vos abdominaux, qui ne profiteront pas beaucoup de l’exercice. | 2. Ne laissez pas non plus votre corps se balancer pour la même raison. Gardez votre torse aussi immobile et stable que possible. | 3. Les pratiquants avancés peuvent ajouter une charge (haltère par exemple) qu’ils tiendront entre leurs pieds. | 4. Le fait de ralentir la descente permet de maximiser le travail des muscles (et de limiter l’élan). Ne laissez donc pas vos jambes “retomber” une fois les avoir amenées en position haute. | 5. Expirer pendant la remontée des jambes permet une meilleure contraction des muscles de la sangle abdominale. Inspirez donc pendant la descente des jambes. | 6. Si votre niveau de force vous le permet, descendez vos jambes aux tiers inférieurs du mouvement et remontez directement les jambes. Cette pratique permet de garder une tension très importante sur les muscles abdominaux.",abdominaux,15.0
Crunch à la poulie,http://82.66.65.151:7000/images/ExerciceImage/crunch_à_la_poulie.jpg,"S’il n’y a en soi rien de mal à faire un crunch avec des charges, tenir un disque sur votre poitrine ou derrière votre tête peut être inconfortable et encombrant. Et plus vous prendrez de la force, plus il sera difficile d’ajouter du poids sans risquer de vous écraser la cage thoracique ou de forcer sur votre cou.","1. Prenez position à côté d’une machine équipée d’une poulie avec une corde fixée dessus. | 2. Installez-vous avec une charge appropriée et saisissez les poignées de manière à ce que vos paumes soient tournées vers l’intérieur. | 3. Mettez-vous à genoux et, face à l’appareil, bloquez les poignées de la corde contre vos oreilles. | 4. Votre buste est bien ferme et légèrement incliné vers l’avant. C’est la position de départ. | 5. Commencez le mouvement en contractant vos abdominaux et en expirant lorsque vous vous penchez vers le bas. | 6. Au point de contraction maximale, serrez fortement les abdominaux avant de retourner lentement en position de départ. Inspirez pendant cette phase du mouvement. | 7. Ne laissez pas la pile de poids retomber en position de départ avant la fin de la série.","1. Les hanches doivent être maintenues hautes et verrouillées pendant toute la durée de la série pour éviter de solliciter les fléchisseurs de la hanche et permettre une amplitude de mouvement complète. Si les hanches sont placées trop bas, vous ne pourrez pas faire un crunch complet. Le mouvement des hanches pendant les répétitions signifie que vous utilisez le poids de votre corps et des fléchisseurs de la hanche pour effectuer le mouvement. | 2. La position des mains conditionne également l’amplitude du mouvement et la longueur du levier utilisé pour effectuer l’exercice. Tenez la corde en plaçant vos mains l’une contre l’autre au niveau de votre front, et non au niveau de vos épaules. | 3. Avec un crunch pour les abdos, concentrez-vous sur l’obtention d’une contraction puissante et profonde (avec la plus grande flexion possible de la colonne vertébrale). La position est cruciale. Nous voulons que la colonne vertébrale soit au moins neutre en haut et en flexion complète en bas, tout en gardant le contrôle durant le mouvement. Concrètement, essayez de rentrer vos coudes le plus loin possible vers vos genoux (vers le haut de vos cuisses). | 4. Trouver le bon angle des cuisses. Vos cuisses doivent former un angle très proche de la perpendiculaire avec le sol, peut-être 5 ou 10 degrés vers l’arrière, tout au plus. Si vous allez trop loin vers l’avant, l’élan du torse penché vers l’avant vous aidera à descendre dans le crunch. Si vous allez trop loin vers l’arrière, ce sont vos muscles ischio-jambiers qui vous aideront à faire le mouvement.",abdominaux,15.0
Flexions des obliques au banc à lombaire à 45°,http://82.66.65.151:7000/images/ExerciceImage/flexions_des_obliques_au_banc_à_lombaire_à_45.jpg,"Les flexions latérales du buste (45 side bend) permettent de cibler vos obliques externes. Cet exercice s’effectue de préférence sur un banc à lombaire à 45°, un appareil conçu à l’origine pour les extensions des lombaires, et que l’on trouve dans la plupart des salles de sport.","1. Réglez le siège de manière à ce que le haut de votre corps puisse se déplacer confortablement à partir de vos hanches jusqu’au sol. | 2. Installez-vous sur le côté sur le banc à lombaire (banc d’hyperextension à 45 degrés), les hanches sur le support et le buste dégagé. | 3. Calez vos pieds contre les boudins en mousse en contrebas. Vous pouvez croiser vos jambes si vous vous sentez plus à l’aise. | 4. Placez vos mains sur votre poitrine ou placez-les au niveau de votre tête. | 5. Inclinez-vous lentement sur le côté en direction du sol, aussi loin que possible et aussi confortablement que possible. Lorsque le haut de votre corps est proche de la parallèle, fléchissez fortement vos obliques pour revenir à la position de départ. | 6. Après avoir terminé la série, répétez ce mouvement avec l’autre côté.","1. Les séries longues (20 répétitions minimum) sont recommandées pour affiner la taille. Des séries courtes avec notamment des charges additionnelles auront tendance à épaissir la taille. | 2. Veillez à ne pas vous pencher en avant ou en arrière (uniquement sur le côté). En d’autres termes, bougez votre torse uniquement latéralement. La rotation du tronc (ou même des hanches) vers la droite ou la gauche représente la plus grande erreur. | 3. Abaissez le buste le plus possible (ce qui permet d’étirer au maximum les muscles ciblés). Si vous ne ressentez pas d’étirement, c’est probablement que votre amplitude de mouvement n’est pas suffisante. | 4. Remontez lentement et de manière contrôlée. | 5. Concentrez-vous sur la flexion des obliques et n’hésitez pas à réaliser une contraction forcée en fin de mouvement.",abdominaux,15.0
Planche latérale,http://82.66.65.151:7000/images/ExerciceImage/planche_latérale.jpg,"L’exercice de la planche latérale (en anglais side plank) est un excellent exercice qui fait travailler l’ensemble de la sangle abdominale, mais principalement les muscles obliques.","1. Allongez-vous au sol sur le côté. | 2. Pliez le coude et placez-le sous votre épaule. | 3. Levez votre corps de façon à ce que votre hanche ne touche pas le sol. | 4. Amenez votre hanche aussi haut que possible et maintenez cette position pendant la durée que vous aurez déterminée. | 5. Une fois que vous avez terminé le mouvement, changez de côté pour travailler les muscles obliques situés de l’autre côté. Faites le même travail pendant le même laps de temps.","1. Ne laissez pas le milieu de votre corps s’affaisser. Restez toujours parfaitement droit. | 2. Pour vous assurer que votre technique est correcte, faites la planche latérale devant le miroir ! | 3. Essayez de tenir en position de planche pendant une minute complète. Pour plus d’intensité, tenez simplement en position plus longtemps. | 4. Contractez également les muscles fessiers pour garder une position adéquate. | 5. Ne laissez pas votre poitrine tourner vers le sol.",abdominaux,15.0
Mountain climber,http://82.66.65.151:7000/images/ExerciceImage/mountain_climber.jpg,"Le mountain climber est un excellent exercice pour améliorer le gainage, l’endurance cardiovasculaire et l’agilité. Cet exercice ciblant principalement les muscles de la sangle abdominale permet de solliciter plusieurs groupes musculaires différents, ce qui en fait un bon exercice pour travailler le corps entier.","1. Mettez-vous en position de planche, en veillant à répartir votre poids de manière égale entre vos mains et vos orteils. | 2. Vérifiez votre position : vos mains doivent être écartées de la largeur des épaules, le dos plat, les abdominaux engagés et la tête alignée. | 3. Amenez votre genou droit dans votre poitrine aussi loin que possible. | 4. Changez de jambe, en retirant le genou droit et en avançant le genou gauche. | 5. Gardez les hanches basses, faites avancer et reculer vos genoux aussi loin et aussi vite que vous le pouvez. Inspirez et expirez alternativement à chaque changement de jambe.","1. Lorsque le mouvement sera bien maîtrisé, vous vous surprendrez peut-être à retenir votre souffle. N’oubliez pas de respirer. | 2. Vous devez effectuer le mouvement avec une bonne technique non seulement pour maximiser l’efficacité de l’exercice, mais aussi pour éviter les blessures. Une erreur fréquente des débutants est par exemple de rebondir sur les pieds lors de l’exécution du mouvement. Le fait de rebondir peut vous faire croire que l’exercice est plus difficile, alors qu’en réalité la mobilisation des muscles abdominaux est moindre. | 3. Une autre erreur technique que vous pourriez commettre, surtout lorsque le mouvement s’accélère, est de ne pas terminer complètement le mouvement lorsque vos orteils touchent le sol pendant que vous ramenez vos genoux vers votre poitrine. Si cela se produit, vous ne profiterez pas pleinement de l’exercice et vous risquez de vous blesser. | 4. Si vous n’êtes pas familiarisé avec ce mouvement, il n’est pas rare de perdre le centre de gravité et de se retrouver avec le corps dans une position inclinée. Gardez votre corps en équilibre et vos épaules au-dessus de vos mains. | 5. Vous devez éviter de faire cet exercice si vous souffrez de blessures ou d’instabilités au niveau des épaules ou du bassin. Le mountain climber est un excellent exercice pour vos genoux, mais si vous avez subi ou devez subir une intervention chirurgicale (par exemple pour réparer une blessure liée au sport ou remplacer une articulation affectée par l’arthrite), vous devriez en parler à votre médecin ou à votre kinésithérapeute avant d’intégrer ce mouvement à votre programme. | 6. Si vous avez récemment été enceinte ou si vous avez été opérée de l’abdomen, il se peut que vous souffriez d’un diastasis recti, c’est-à-dire d’un écartement des muscles de l’abdomen. Jusqu’à ce que cet état soit complètement rétabli, vous devriez éviter ce type de mouvement.",abdominaux,15.0
Rotations du buste avec barre,http://82.66.65.151:7000/images/ExerciceImage/rotations_du_buste_avec_barre.jpg,"Les rotations de buste avec barre ciblent les obliques, c’est-à-dire les muscles abdominaux situés sur les côtés du buste.","1. Le mouvement de rotation debout avec une barre se concentre sur vos obliques. Prenez une barre de musculation et faites-la reposer sur le muscle sous la nuque (muscles trapèzes). Ne faites pas reposer le poids sur votre colonne vertébrale ! | 2. Tenez-vous droit, les pieds fermement ancrés au sol à une distance supérieure à la largeur des épaules, le dos droit. | 3. Faites lentement pivoter votre torse vers la droite, puis vers la gauche. Mettez en tension votre ceinture abdominale. | 4. Pivotez aussi loin que possible. Ne bougez pas la tête pendant la torsion, mais gardez les yeux tournés vers l’avant.",1. Gardez vos abdominaux contractés tout au long de la série. | 2. Faites toujours des mouvements contrôlés et sans élan. | 3. Assurez-vous d’avoir suffisamment de place si vous utilisez une barre olympique ! | 4. Cet exercice peut être effectué en position assise sur le bord d’un banc.,abdominaux,15.0
Crunch sur swiss ball,http://82.66.65.151:7000/images/ExerciceImage/crunch_sur_swiss_ball.jpg,"Les crunchs sont un excellent moyen de renforcer les abdominaux. Effectués correctement, ils permettent de tonifier, d’aplatir et de fortifier les abdominaux.","1. Choisissez un Swiss ball (ballon de stabilité) d’une hauteur équivalente à celle de vos genoux et qui soit bien ferme. | 2. Asseyez-vous sur le ballon avec les genoux pliés à un angle de 90 degrés. | 3. Éloignez vos pieds en roulant vers l’arrière, de sorte que le bas de votre dos soit en appui sur le ballon. | 4. Pour un crunch sur ballon, les bras peuvent être croisés au-dessus de votre poitrine ou, pour un exercice plus difficile, vous pouvez tendre les bras au-dessus de votre tête. | 5. Commencez le mouvement en engageant d’abord votre buste et en contractant vos muscles abdominaux. Un effort volontaire est nécessaire pour que ces muscles se contractent. | 6. Ensuite, en sollicitant le muscle droit de l’abdomen, amenez vos épaules et votre poitrine vers le haut en direction du plafond. Il est conseillé de choisir un point du plafond directement au-dessus de la tête pour s’assurer que le cou reste dans une position neutre. | 7. Avec maîtrise, redescendez les épaules et la poitrine pour toucher le ballon. Les abdominaux doivent rester serrés tout au long de cet exercice.","1. Rentrez votre nombril vers votre colonne vertébrale et maintenez-le ainsi tout au long du mouvement afin de garder le transverse de l’abdomen contracté. | 2. L’intérêt de cet exercice est qu’il permet de travailler avec une grande amplitude de mouvement. Pour maximiser la contraction des muscles, commencez chaque répétition en étirant bien vos abdominaux. | 3. Fermez les yeux pendant le mouvement vous permettra de renforcer votre proprioception. | 4. Pour augmenter la difficulté au maximum, vous pouvez poser qu’une seule jambe au sol, obligeant les muscles de votre sangle abdominale, et notamment les obliques à rester gainé au maximum.",abdominaux,15.0
Rotations des abdominaux suspendu,http://82.66.65.151:7000/images/ExerciceImage/rotations_des_abdominaux_suspendu.jpg,Les rotations des abdominaux suspendu sont une variante du relevé de jambes qui permet de maximiser le travail des obliques. C’est un excellent mouvement qui permet d’effectuer un gainage dynamique de la sangle abdominale.,"1. Saisissez une barre de traction et suspendez-vous avec les mains un peu plus larges que la largeur des épaules, les jambes complètement tendues. Veillez à ce que votre corps soit droit et que les jambes restent jointes. Ceci est la position initiale. | 2. Commencez par fléchir vos hanches puis relevez vos jambes à la verticale. Faites pivoter vos jambes vers votre côté droit dans la limite de votre mobilité et force. Contractez vos obliques et vos abdominaux puis pivotez sur le côté opposé. | 3. Effectuez le nombre de répétitions souhaité. | 4. Abaissez lentement vos hanches pour revenir à la position initiale et terminer votre série.","1. Évitez tout mouvement d’élan et maîtrisez le mouvement de vos hanches, de vos genoux et de vos abdominaux tout au long de l’exercice. | 2. N’effectuez pas cet exercice si vous souffrez de problèmes de dos. | 3. Vous ne devriez normalement pas ressentir de tension importante au niveau de la colonne. Si la sensation d’étirement ressentie est désagréable ou douloureuse, réduisez simplement l’amplitude de rotation.",abdominaux,15.0
Sit-up avec médecine ball contre un mur,http://82.66.65.151:7000/images/ExerciceImage/situp_avec_médecine_ball_contre_un_mur.jpg,"Le sit-up avec médecine ball contre un mur, (en anglais wall ball sit-ups) est un excellent exercice popularisé par le CrossFit, qui vous permettra d’intensifier l’entraînement de vos abdominaux. Vous pourrez ainsi brûler plus de calories et améliorer votre condition physique générale.","1. Prenez un médecine-ball et allongez-vous, les genoux pliés à un angle de 90 degrés et les pieds au sol. | 2. Tenez le médecine-ball avec les deux mains, bras au-dessus de votre tête. | 3. En mobilisant vos abdominaux, remontez en position assise tout en lançant le médecine-ball contre le mur. | 4. Attrapez-le lorsqu’il rebondit vers vous et redescendez vers le sol. Continuez jusqu’à ce que vous ayez effectué le nombre de répétitions souhaité.","1. Déterminez le nombre de séries, de répétitions et le poids du médecine-ball en fonction de votre capacité à conserver une bonne technique pendant toutes les séries et répétitions. | 2. Le mur doit être résistant aux chocs pour éviter tout dommage. | 3. Bloquez vos pieds sous une paire d’haltères si vous avez besoin de plus de stabilité. | 4. Vous avez aussi la possibilité de faire cet exercice avec un partenaire. Face à face, faites-vous simplement des passes alternativement en veillant à ne pas lancer le médecine-ball trop fort.",abdominaux,15.0
Crunch à la machine,http://82.66.65.151:7000/images/ExerciceImage/crunch_à_la_machine.jpg,"Le crunch à la machine est un exercice d’isolation qui permet de travailler les abdominaux avec une charge définie. Cet exercice est donc intéressant pour travailler avec une charge additionnelle plus importante, si faire des dizaines de crunchs au sol devient trop facile pour vous. ","1. Installez-vous dans la machine à abdominaux, le dos appuyé contre le dossier. | 2. Coincez vos pieds sous les boudins. | 3. Saisissez les poignées de chaque côté de votre tête. | 4. Expirez en contractant vos abdominaux pour plier votre abdomen et votre bassin de manière à tirer les poignées vers le bas et le boudin cale-pied vers le haut. | 5. Inspirez en relâchant les abdos et le bassin pour revenir à la position de départ. | 6. Répétez le mouvement jusqu’à effectuer le nombre de répétitions prévues.","1. Réglez la hauteur du siège de la machine pour un confort et une amplitude de mouvement optimale. | 2. Maintenez votre dos fermement appuyé contre le dossier. | 3. Gardez votre cou dans une position neutre : ne forcez pas avec votre cou. | 4. Si vous ne réussissez pas à effectuer un crunch avec une amplitude de mouvement complète, c’est peut-être que vous utilisez une charge trop lourde. | 5. Ne tirez pas vers le bas avec vos bras ; gardez-les fixes. Tout le mouvement doit être effectué par la flexion de vos abdominaux.",abdominaux,15.0
Dragon flag,http://82.66.65.151:7000/images/ExerciceImage/dragon_flag.jpg,"Le dragon flag (en français drapeau du dragon) est un exercice de musculation qui a été rendu célèbre grâce au maître d’arts martiaux Bruce Lee. C’est l’un des mouvements de gainage pour les abdominaux les plus avancés qui vous aidera à avoir des abdos incroyablement forts et définis, autrement dit le 6-pack que beaucoup de personnes recherchent. Le mouvement du drapeau du dragon de Bruce Lee est désormais un exercice faisant partie de la culture pop du monde du fitness. Au fil des années, il a été adopté par les amateurs de callisthénie et de musculation qui aiment pratiquer des mouvements difficiles.","1. Pour commencer, allongez-vous sur le dos et mettez vos bras derrière vous pour vous accrocher à un poteau, un montant de cage à squat ou un banc de musculation solide. Certaines personnes utilisent des kettlebells ou des haltères, mais l’utilisation d’un objet fixe et stable est plus adaptée et plus sûre. | 2. Remontez les hanches en transférant votre poids sur vos épaules. | 3. Levez vos pieds, vos jambes et votre torse de manière à former une ligne droite. | 4. Une fois que vous avez atteint le sommet, en gardant les abdos et les fesses serrés, abaissez lentement vos jambes dans un mouvement contrôlé sans laisser aucune partie de votre corps toucher le banc, à l’exception du haut du dos et des épaules. | 5. Répétez le mouvement autant que possible.","1. Pointez vos orteils pour aider à maintenir un bon alignement du corps. | 2. Ne mettez pas le poids de votre corps sur votre cou. Veillez à garder le poids sur le haut de votre dos et vos épaules. | 3. Veillez à garder vos jambes jointes et droites tout au long du mouvement. | 4. Ne cambrez pas le dos. En cambrant le bas du dos, vous soulagez vos abdominaux et transférez l’effort sur le bas du dos, avec un risque de blessure. | 5. Assurez-vous d’être bien échauffé avant de faire le dragon flag. | 6. Veillez à prendre un temps de repos suffisant entre les séries, de une à trois minutes. | 7. Pour plus de difficulté, vous pouvez maintenir votre corps juste au-dessus du sol et garder cette position avant de remonter. | 8. Si vous vous affaissez, si vous laissez tomber vos hanches ou si vous courbez le dos, cela signifie que vous n’avez pas encore la force nécessaire et que vous ne devriez pas continuer à pratiquer cet exercice. Pour gagner de la force, entraînez-vous à pratiquer les exercices de progression ci-dessous.",abdominaux,15.0
Flexions latérales avec haltère,http://82.66.65.151:7000/images/ExerciceImage/flexions_latérales_avec_haltère.jpg,"Les flexions latérales avec haltère sont un excellent exercice pour cibler les muscles obliques. Le renforcement des muscles de la taille est crucial pour la pratique d’activités physiques nécessitant une grande stabilité, un bon équilibre et une grande mobilité.","1. Prenez un haltère avec votre main droite et tenez-le sur votre côté droit. | 2. Avec les pieds écartés de la largeur des épaules, contractez vos muscles abdominaux et ouvrez votre poitrine. Gardez les genoux légèrement fléchis. | 3. Placez votre main gauche sur le côté de votre tête ou sur votre hanche. Pliez la taille vers votre côté gauche. Arrêtez-vous lorsque vous ressentez une contraction de l’oblique gauche et un étirement de l’oblique droit. | 4. Revenez à la position de départ et répétez le mouvement jusqu’à effectuer le nombre de répétitions souhaité. | 5. Changez de côté et répétez l’exercice.","1. Gardez toujours le dos droit, le regard dirigé vers l’avant, et ne vous penchez qu’au niveau du torse. | 2. Concentrez-vous sur l’étirement et la contraction des muscles obliques. | 3. Gardez les haltères près du corps. | 4. Cet exercice peut également être réalisé en étant assis au bord d’un banc. | 5. Si vous ne disposez pas d’haltères, il est possible d’effectuer cet exercice avec un élastique.",abdominaux,15.0
AB Coaster,http://82.66.65.151:7000/images/ExerciceImage/ab_coaster.jpg,"Si vous voulez muscler vos abdos, essayez l’Ab Coaster, un appareil révolutionnaire pour les abdominaux. Cet appareil est parfait pour les personnes qui souhaitent travailler les muscles abdominaux, mais qui n’arrivent pas à apprécier les exercices traditionnels comme les crunchs, les relevés de jambes et les relevés de buste.",1. Agenouillez-vous sur le siège de manière à ce que vos pieds soient suspendus sur le bord arrière du support. | 2. Saisissez les deux poignées. | 3. Déplacez le support mobile vers l’avant et le haut en ramenant les genoux vers le haut. | 4. Maintenez si possible cette position haute une seconde en contractant fortement vos abdominaux. | 5. Revenez lentement en position de départ. | 6. Répétez le mouvement autant de fois que prévu.,"1. Il est possible de régler le siège sur le côté droit ou gauche afin de travailler les muscles obliques. | 2. Ne bougez pas le haut de votre corps pendant l’exercice pour isoler au maximum les abdominaux. | 3. Utilisez une vitesse lente et régulière pour cet exercice. N’utilisez pas d’élan pour remonter, concentrez-vous sur la contraction et l’utilisation de vos abdominaux pour remonter. | 4. Pour augmenter l’intensité de l’exercice, ajoutez des disques de musculation sur les côtés.",abdominaux,15.0
Crunch debout avec élastique,http://82.66.65.151:7000/images/ExerciceImage/crunch_debout_avec_élastique.jpg,"De nombreux sportifs considèrent le crunch à la poulie comme l’un des meilleurs exercices pour développer des abdos en six-pack. En effet, les crunchs à la poulie vous permettent d’effectuer une flexion de la colonne vertébrale avec une résistance. Dans une salle de sport, l’exercice est effectué sur une machine équipée d’une poulie avec câble fixée à une pile de poids. Si vous vous entraînez à la maison sans machine à poulie, vous pouvez effectuer le même mouvement avec une bande élastique.","1. Fixez l’élastique sur un support en hauteur (au-dessus de votre tête). | 2. Attrapez l’élastique à deux mains, placez vos mains sur le dessus de votre tête et positionnez-vous de manière à faire dos au point d’ancrage. | 3. Tenez-vous debout, les pieds écartés de la largeur des épaules, et déverrouillez légèrement vos genoux pour plus de stabilité. | 4. Pour augmenter la tension, faites un tour de main sur l’élastique. | 5. Penchez-vous vers l’avant dans un mouvement de flexion, en amenant vos coudes en arc de cercle vers vos genoux. Rentrez votre menton et fléchissez votre colonne vertébrale de façon à ce que votre dos soit arrondi en position basse. | 6. Revenez à la position de départ et recommencez le mouvement jusqu’à ce que vous ayez effectué le nombre de répétitions fixé.","1. Expirez (soufflez l’air) pendant le mouvement de flexion, concentrez-vous sur l’utilisation de vos muscles abdominaux et contractez-les en bas de l’exercice. | 2. Une excellente façon de réaliser le crunch debout est d’utiliser un ancrage de porte et d’attacher l’élastique au sommet de la porte, puis de se tenir debout avec les fesses contre la porte. Cela vous donne non seulement de la stabilité, et vous pourrez ressentir une contraction abdominale plus forte qu’avec la version sans support. | 3. Une autre variante de cet exercice debout est le crunch oblique, dans lequel vous tirez un coude vers le genou opposé et alternez les côtés toutes les deux répétitions. | 4. Une variante répandue consiste à tenir l’élastique sur les épaules. C’est une version intéressante et certaines personnes la trouvent plus confortable, mais elle est un peu plus facile, car elle crée un bras de levier plus court.",abdominaux,15.0
Crunch à la poulie pour les obliques,http://82.66.65.151:7000/images/ExerciceImage/crunch_à_la_poulie_pour_les_obliques.jpg,"Le crunch à la poulie pour les obliques (en anglais kneeling cable oblique crunch) est un exercice efficace pour travailler les obliques avec une résistance constante. Il permet de développer une taille tonique et forte, tout en améliorant la stabilité du tronc et la posture. L’avantage de cet exercice est que vous pouvez changer les poids rapidement et donc faire des séries en pyramidale en augmentant la charge progressivement.","1. Choisissez la charge avec laquelle vous souhaitez travailler. | 2. À genoux, faites face à la machine, en vous éloignant suffisamment pour créer une tension constante sur le câble. | 3. Attrapez à deux mains les extrémités de la corde attachée à la poulie. Vos mains doivent maintenant se trouver de part et d’autre au sommet de votre tête et tenir la corde. | 4. Fléchissez latéralement votre taille en tenant les poignées, en vous concentrant sur la contraction dans les obliques du côté où vous fléchissez. | 5. Continuez à descendre en serrant les abdominaux jusqu’à ce que vos coudes soient près de vos jambes. | 6. Revenez lentement à la position de départ en contrôlant le mouvement, en maintenant la contraction dans vos obliques. Ne reposez pas la pile de poids afin de garder une tension continue. | 7. Effectuez le nombre désiré de répétitions, puis changez de côté.","1. Concentrez-vous sur une exécution lente et contrôlée, en ressentant la contraction des obliques à chaque répétition. | 2. Pour améliorer les bienfaits de cet exercice, il est important de faire une petite pause en bas du mouvement en contractant fortement les abdominaux. | 3. Assurez-vous qu’il y a suffisamment d’espace pour effectuer le mouvement de crunch sans problème, mais ne reculez pas trop, car cela pourrait compromettre votre stabilité et votre exécution. | 4. Vous pouvez aussi faire l’exercice en alternant de côté une fois sur deux selon votre préférence. | 5. Inspirez toujours en contractant les abdominaux pour maximiser la contraction, et expirez en relâchant. Ce conseil est valable quelque soit l’exercice pour abdominaux ou les obliques. ",abdominaux,15.0
Crunch papillon,http://82.66.65.151:7000/images/ExerciceImage/crunch_papillon.jpg,Le crunch papillon (en anglais butterfly sit-ups) est un excellent exercice pour le renforcement musculaire des abdominaux.,1. Asseyez-vous sur le sol et placez-vous en position papillon : genoux ouverts avec les plantes de pieds en contact l’une contre l’autre. | 2. Veillez à ne pas pencher la tête en avant tout au long de l’exercice. Gardez-la alignée avec votre nuque. | 3. Allongez-vous et placez vos bras derrière votre tête. Gardez les bras tendus et les mains rapprochées. | 4. Mettez en tension les muscles fléchisseurs de la hanche et contractez les abdominaux pour ramener le haut de votre corps vers le haut et l’avant. Décollez le haut de votre corps du sol et tendez les bras vers l’avant. | 5. Avancez les bras jusqu’à ce que vous puissiez toucher le sol ou vos pieds. | 6. Revenez à la position de départ en vous allongeant. | 7. Répétez le mouvement jusqu’à ce que vous ayez effectué le nombre de répétitions prévu.,"1. Assurez-vous que vos hanches restent en contact avec le sol tout au long de l’exercice. | 2. Si vous n’enroulez pas votre corps et que vous gardez plutôt votre dos droit, vous ferez surtout travailler les muscles fléchisseurs de la hanche. | 3. Si vous effectuez des répétitions trop rapides sans respecter la technique, vos hanches risquent de ne plus être en contact avec le sol. | 4. Des répétitions trop explosives peuvent aussi vous déséquilibrer. | 5. Si vous avez beaucoup de force dans les abdominaux, il est possible de tenir un médecine ball dans vos mains pendant le mouvement pour intensifier l’exercice.",abdominaux,15.0
Crunch bicyclette,http://82.66.65.151:7000/images/ExerciceImage/crunch_bicyclette.jpg,"Le crunch bicyclette (en anglais air bike) est une variante avancée du crunch. Cet exercice permet de cibler les abdominaux (droit de l’abdomen), les muscles obliques, mais aussi les muscles dentelés. Le muscle transverse de l’abdomen (muscle profond de la sangle abdominale) est également sollicité.","1. Allongez-vous sur le sol, les genoux pliés à 90 degrés. | 2. Placez vos mains derrière votre tête. | 3. Expirez en rapprochant un genou vers votre visage tout en amenant le coude opposé à ce genou. | 4. Une fois que vos abdominaux sont complètement contractés, redescendez lentement à la position de départ et répétez le mouvement avec le côté opposé. | 5. Répétez le tout jusqu’à ce que vous ayez effectué le nombre de répétitions souhaité ou la durée d’entraînement prévue pour l’exercice.",1. Expirez fort comme si vous souffliez les bougies d’un gâteau et maintenez la contraction pendant une seconde afin d’améliorer la connexion esprit-muscle. | 2. Le fait de tirer votre tête avec vos mains entraîne une tension excessive sur le cou et peut occasionner une blessure. Les mains ne doivent donc à aucun moment participer à la réalisation du mouvement.,abdominaux,15.0
Jackknife sur swiss ball,http://82.66.65.151:7000/images/ExerciceImage/jackknife_sur_swiss_ball.jpg,Le jackknife sur swiss ball (en anglais stability ball jackknife) est un exercice d’isolation qui permet de se muscler et de gagner en force au niveau des abdominaux et des fléchisseurs de la hanche. Cet exercice est recommandé aux personnes qui ont déjà un bon niveau de musculation.,"1. Mettez-vous en position de pompes, vos chevilles reposant sur le haut de la swiss ball. | 2. Expirez en fléchissant les genoux, les hanches et la taille afin d’amener les genoux vers l’avant. | 3. Tendez ensuite vos jambes jusqu’à revenir en position de départ. | 4. Répétez ce mouvement jusqu’à ce que vous ayez effectué le nombre de répétitions souhaité.","1. Plus le ballon est bas sur vos tibias, plus l’amplitude du mouvement sera réduite. | 2. Par conséquent, pour avoir une amplitude de mouvement complète et pouvoir ramener vos genoux jusqu’à votre poitrine, commencez avec le ballon près de vos genoux. | 3. Veillez à maintenir le bas de votre dos dans une position neutre tout au long de l’exercice (même lorsque vous ramenez vos genoux vers votre poitrine). Si votre dos s’arrondit lorsque vous ramenez vos genoux vers votre poitrine, vous risquez de vous faire mal aux lombaires.",abdominaux,15.0
